date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
14/6/2018 15:00,Fase de grupos,A,Rusia,Arabia Saudita,5,0,,,,Luzhniki Stadium Moscú,,
15/6/2018 12:00,Fase de grupos,A,Egipto,Uruguay,0,1,,,,Ekaterinburgo Arena,,
15/6/2018 13:00,Fase de grupos,B,Marruecos,Irán,0,1,,,,Zenit Arena San Petersburgo,,
15/6/2018 18:00,Fase de grupos,B,Portugal,España,3,3,,,,Fisht Stadium Sochi,,
16/6/2018 10:00,Fase de grupos,C,Francia,Australia,2,1,,,,Kazan Arena,,
16/6/2018 13:00,Fase de grupos,D,Argentina,Islandia,1,1,,,,Spartak Stadium Moscú,,
16/6/2018 16:00,Fase de grupos,C,Perú,Dinamarca,0,1,,,,Mordovia Arena Saransk,,
16/6/2018 19:00,Fase de grupos,D,Croacia,Nigeria,2,0,,,,Kaliningrado Stadium,,
17/6/2018 12:00,Fase de grupos,E,Costa Rica,Serbia,0,1,,,,Samara Arena,,
17/6/2018 13:00,Fase de grupos,F,Alemania,México,0,1,,,,Luzhniki Stadium Moscú,,
17/6/2018 18:00,Fase de grupos,E,Brasil,Suiza,1,1,,,,Rostov Arena,,
18/6/2018 12:00,Fase de grupos,F,Suecia,Corea del Sur,1,0,,,,Nizhny Novgorod Stadium,,
18/6/2018 13:00,Fase de grupos,G,Bélgica,Panamá,3,0,,,,Fisht Stadium Sochi,,
18/6/2018 18:00,Fase de grupos,G,Túnez,Inglaterra,1,2,,,,Volgogrado Arena,,
19/6/2018 12:00,Fase de grupos,H,Polonia,Senegal,1,2,,,,Spartak Stadium Moscú,,
19/6/2018 13:00,Fase de grupos,H,Colombia,Japón,1,2,,,,Mordovia Arena Saransk,,
19/6/2018 18:00,Fase de grupos,A,Rusia,Egipto,3,1,,,,Zenit Arena San Petersburgo,,
20/6/2018 12:00,Fase de grupos,B,Portugal,Marruecos,1,0,,,,Luzhniki Stadium Moscú,,
20/6/2018 13:00,Fase de grupos,A,Uruguay,Arabia Saudita,1,0,,,,Rostov Arena,,
20/6/2018 18:00,Fase de grupos,B,Irán,España,0,1,,,,Kazan Arena,,
21/6/2018 12:00,Fase de grupos,C,Francia,Perú,1,0,,,,Ekaterinburgo Arena,,
21/6/2018 13:00,Fase de grupos,C,Dinamarca,Australia,1,1,,,,Samara Arena,,
21/6/2018 18:00,Fase de grupos,D,Argentina,Croacia,0,3,,,,Nizhny Novgorod Stadium,,
22/6/2018 12:00,Fase de grupos,E,Brasil,Costa Rica,2,0,,,,Zenit Arena San Petersburgo,,
22/6/2018 13:00,Fase de grupos,D,Nigeria,Islandia,2,0,,,,Volgogrado Arena,,
22/6/2018 18:00,Fase de grupos,E,Serbia,Suiza,1,2,,,,Kaliningrado Stadium,,
23/6/2018 12:00,Fase de grupos,G,Bélgica,Túnez,5,2,,,,Spartak Stadium Moscú,,
23/6/2018 13:00,Fase de grupos,F,Alemania,Suecia,2,1,,,,Fisht Stadium Sochi,,
23/6/2018 18:00,Fase de grupos,F,Corea del Sur,México,1,2,,,,Rostov Arena,,
24/6/2018 12:00,Fase de grupos,G,Inglaterra,Panamá,6,1,,,,Nizhny Novgorod Stadium,,
24/6/2018 13:00,Fase de grupos,H,Japón,Senegal,2,2,,,,Ekaterinburgo Arena,,
24/6/2018 18:00,Fase de grupos,H,Polonia,Colombia,0,3,,,,Kazan Arena,,
25/6/2018 14:00,Fase de grupos,A,Arabia Saudita,Egipto,2,1,,,,Volgogrado Arena,,
25/6/2018 14:00,Fase de grupos,A,Uruguay,Rusia,3,0,,,,Samara Arena,,
25/6/2018 18:00,Fase de grupos,B,España,Marruecos,2,2,,,,Kaliningrado Stadium,,
25/6/2018 18:00,Fase de grupos,B,Irán,Portugal,1,1,,,,Mordovia Arena Saransk,,
26/6/2018 14:00,Fase de grupos,C,Dinamarca,Francia,0,0,,,,Luzhniki Stadium Moscú,,
26/6/2018 14:00,Fase de grupos,C,Australia,Perú,0,2,,,,Fisht Stadium Sochi,,
26/6/2018 18:00,Fase de grupos,D,Islandia,Croacia,1,2,,,,Rostov Arena,,
26/6/2018 18:00,Fase de grupos,D,Nigeria,Argentina,1,2,,,,Zenit Arena San Petersburgo,,
27/6/2018 14:00,Fase de grupos,F,Corea del Sur,Alemania,2,0,,,,Kazan Arena,,
27/6/2018 14:00,Fase de grupos,F,México,Suecia,0,3,,,,Ekaterinburgo Arena,,
27/6/2018 18:00,Fase de grupos,E,Serbia,Brasil,0,2,,,,Spartak Stadium Moscú,,
27/6/2018 18:00,Fase de grupos,E,Suiza,Costa Rica,2,2,,,,Nizhny Novgorod Stadium,,
28/6/2018 14:00,Fase de grupos,H,Senegal,Colombia,0,1,,,,Samara Arena,,
28/6/2018 14:00,Fase de grupos,H,Japón,Polonia,0,1,,,,Volgogrado Arena,,
28/6/2018 18:00,Fase de grupos,G,Inglaterra,Bélgica,0,1,,,,Kaliningrado Stadium,,
28/6/2018 18:00,Fase de grupos,G,Panamá,Túnez,2,1,,,,Mordovia Arena Saransk,,
30/6/2018 14:00,Octavos de final,,Francia,Argentina,4,3,,,,Kazan Arena,,
30/6/2018 18:00,Octavos de final,,Uruguay,Portugal,2,1,,,,Fisht Stadium Sochi,,
1/7/2018 14:00,Octavos de final,,España,Rusia,1,1,y,3,4,Luzhniki Stadium Moscú,,
1/7/2018 18:00,Octavos de final,,Croacia,Dinamarca,1,1,y,3,2,Nizhny Novgorod Stadium,,
2/7/2018 14:00,Octavos de final,,Brasil,México,2,0,,,,Samara Arena,,
2/7/2018 18:00,Octavos de final,,Bélgica,Japón,3,2,,,,Rostov Arena,,
3/7/2018 14:00,Octavos de final,,Suecia,Suiza,1,0,,,,Zenit Arena San Petersburgo,,
3/7/2018 18:00,Octavos de final,,Colombia,Inglaterra,1,1,y,3,4,Spartak Stadium Moscú,,
6/7/2018 14:00,Cuartos de final,,Francia,Uruguay,2,0,,,,Nizhny Novgorod Stadium,,
6/7/2018 18:00,Cuartos de final,,Brasil,Bélgica,1,2,,,,Kazan Arena,,
7/7/2018 14:00,Cuartos de final,,Suecia,Inglaterra,0,2,,,,Samara Arena,,
7/7/2018 18:00,Cuartos de final,,Rusia,Croacia,2,2,y,3,4,Fisht Stadium Sochi,,
10/7/2018 18:00,Semifinal,,Francia,Bélgica,1,0,,,,Zenit Arena San Petersburgo,,
11/7/2018 18:00,Semifinal,,Inglaterra,Croacia,1,2,,,,Luzhniki Stadium Moscú,,
14/7/2018 14:00,Tercer puesto,,Bélgica,Inglaterra,2,0,,,,Zenit Arena San Petersburgo,,
15/7/2018 15:00,Final,,Francia,Croacia,4,2,,,,Luzhniki Stadium Moscú,,
