date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
31/5/1970,Fase de grupos,1,México,Unión Soviética,0,0,,,,Estadio Azteca,Kurt Tschenscher,
2/6/1970,Fase de grupos,2,Uruguay,Israel,2,0,,,,Estadio Cuauhtemoc,Bob Davidson,
2/6/1970,Fase de grupos,3,Inglaterra,Rumania,1,0,,,,Estadio Jalisco,Vital Lourax,
2/6/1970,Fase de grupos,4,Perú,Bulgaria,3,2,,,,Estadio Nou Camp,Antonio Sbardella,
3/6/1970,Fase de grupos,1,Bélgica,El Salvador,3,0,,,,Estadio Azteca,Andrei Radulescu,
3/6/1970,Fase de grupos,2,Italia,Suecia,1,0,,,,Estadio Luis Dosal,Jack Taylor,
3/6/1970,Fase de grupos,3,Brasil,Checoslovaquia,4,1,,,,Estadio Jalisco,Ramon Barreto,
3/6/1970,Fase de grupos,4,Alemania Occidental,Marruecos,2,1,,,,Estadio Nou Camp,Laurens van Ravens,
6/6/1970,Fase de grupos,1,Unión Soviética,Bélgica,4,1,,,,Estadio Azteca,Rudolf Scheurer,
6/6/1970,Fase de grupos,2,Uruguay,Italia,0,0,,,,Estadio Cuauhtemoc,Rudi Glockner,
6/6/1970,Fase de grupos,3,Rumania,Checoslovaquia,2,1,,,,Estadio Jalisco,Diego De Leo,
6/6/1970,Fase de grupos,4,Perú,Marruecos,3,0,,,,Estadio Nou Camp,Tofik Bakhramov,
7/6/1970,Fase de grupos,1,México,El Salvador,4,0,,,,Estadio Azteca,Ali Kandil,
7/6/1970,Fase de grupos,2,Israel,Suecia,1,1,,,,Estadio Luis Dosal,Seyoum Tarekegn,
7/6/1970,Fase de grupos,3,Brasil,Inglaterra,1,0,,,,Estadio Jalisco,Abraham Klein,
7/6/1970,Fase de grupos,4,Alemania Occidental,Bulgaria,5,2,,,,Estadio Nou Camp,Jose Maria Ortiz de Mendibil,
10/6/1970,Fase de grupos,1,Unión Soviética,El Salvador,2,0,,,,Estadio Azteca,Rafael Hormazabal Diaz,
10/6/1970,Fase de grupos,2,Suecia,Uruguay,1,0,,,,Estadio Cuauhtemoc,Henry Landauer,
10/6/1970,Fase de grupos,3,Brasil,Rumania,3,2,,,,Estadio Jalisco,Ferdinand Marschall,
10/6/1970,Fase de grupos,4,Alemania Occidental,Perú,3,1,,,,Estadio Nou Camp,Abel Aguilar Elizalde,
11/6/1970,Fase de grupos,1,México,Bélgica,1,0,,,,Estadio Azteca,Angel Norberto Coerezza,
11/6/1970,Fase de grupos,2,Italia,Israel,0,0,,,,Estadio Luis Dosal,Antonio De Moraes,
11/6/1970,Fase de grupos,3,Inglaterra,Checoslovaquia,1,0,,,,Estadio Jalisco,Roger Machin,
11/6/1970,Fase de grupos,4,Marruecos,Bulgaria,1,1,,,,Estadio Nou Camp,Antonio Ribeiro Saldanha,
14/6/1970,Cuartos de final,,Alemania Occidental,Inglaterra,3,2,y,,,Estadio Nou Camp,Angel Norberto Coerezza,
14/6/1970,Cuartos de final,,Brasil,Perú,4,2,,,,Estadio Jalisco,Vital Loraux,
14/6/1970,Cuartos de final,,Italia,México,4,1,,,,Estadio Luis Dosal,Rudolf Scheurer,
14/6/1970,Cuartos de final,,Uruguay,Unión Soviética,1,0,y,,,Estadio Azteca,Laurens van Ravens,
17/6/1970,Semifinal,,Brasil,Uruguay,3,1,,,,Estadio Jalisco,Jose Maria Ortiz de Mendibil,
17/6/1970,Semifinal,,Italia,Alemania Occidental,4,3,y,,,Estadio Azteca,Arturo Yamasaki Maldonado,
20/6/1970,Tercer puesto,,Alemania Occidental,Uruguay,1,0,,,,Estadio Azteca,Antonio Sbardella,
21/6/1970,Final,,Brasil,Italia,4,1,,,,Estadio Azteca,Rudi Glockner,
